,coef,se,p,ci_low,ci_high
Intercept,68.035,0.385,0.0,67.28,68.789
year,0.757,0.098,0.0,0.564,0.949
log_hiv,-3.281,0.219,0.0,-3.711,-2.852
schooling,2.432,0.267,0.0,1.908,2.957
log_gdp,-0.019,0.051,0.71,-0.119,0.081
polio,0.075,0.048,0.119,-0.019,0.17
diphtheria,0.095,0.05,0.058,-0.003,0.193
total_expenditure,-0.098,0.055,0.076,-0.206,0.01
alcohol,-0.061,0.105,0.563,-0.267,0.145
developed,7.801,1.156,0.0,5.534,10.067
schooling:developed,-0.84,0.557,0.131,-1.932,0.251
